trial,MOTA,box_threshold,text_threshold,track_thresh,match_thresh,track_buffer,lambda_weight,text_sim_weight
80,0.420447,0.306643,0.898064,0.526415,0.781999,40,0.257429,0.449556
81,0.429656,0.345172,0.807024,0.468501,0.820378,60,0.234796,0.42292
82,0.432482,0.39913,0.836358,0.455484,0.852074,50,0.283575,0.435429
83,0.430459,0.401674,0.847296,0.403482,0.85988,50,0.276152,0.439552
84,0.430023,0.364419,0.872984,0.42799,0.849797,40,0.304609,0.462191
85,0.421981,0.452835,0.818169,0.496718,0.722651,100,0.287129,0.387131
86,0.42697,0.401602,0.743426,0.381832,0.880766,60,0.252271,0.41114
87,0.414845,0.320487,0.776019,0.568947,0.767861,70,0.322585,0.35913
88,0.432668,0.374574,0.845649,0.450207,0.793272,30,0.295376,0.437754
89,0.426665,0.270063,0.85652,0.419687,0.842221,30,0.355855,0.447828
90,0.424075,0.438872,0.877912,0.503706,0.788011,40,0.31081,0.489775
91,0.430727,0.376978,0.840428,0.439777,0.807732,50,0.298227,0.430304
92,0.430858,0.353128,0.723035,0.460507,0.858073,30,0.277815,0.392648
93,0.429868,0.419196,0.83099,0.408595,0.899808,60,0.263808,0.419823
94,0.428778,0.298294,0.788209,0.474886,0.795637,50,0.226732,0.462824
95,0.433305,0.372594,0.761448,0.454913,0.832859,40,0.296566,0.43863
96,0.423034,0.324794,0.762957,0.526193,0.835577,40,0.331567,0.105032
97,0.432784,0.353578,0.679815,0.485499,0.88291,40,0.315894,0.444634
98,0.428332,0.393963,0.64211,0.477246,0.877168,30,0.294379,0.437627
99,0.421407,0.525844,0.667201,0.422585,0.859259,40,0.210574,0.409013
100,0.428657,0.462651,0.611715,0.356868,0.880226,50,0.245578,0.470757
101,0.426866,0.360568,0.809119,0.391361,0.816999,60,0.313681,0.455883
102,0.431673,0.344946,0.680092,0.444168,0.84799,40,0.278546,0.444552
103,0.432125,0.414127,0.847671,0.487536,0.850489,30,0.271847,0.443244
104,0.43113,0.420213,0.898405,0.488849,0.839901,30,0.273835,0.443575
105,0.426633,0.294761,0.690797,0.51271,0.864292,40,0.298702,0.48305
106,0.426587,0.410888,0.572543,0.496313,0.884021,30,0.279156,0.434475
107,0.409835,0.493522,0.849437,0.542627,0.845233,40,0.321974,0.199215
108,0.42997,0.439007,0.802721,0.452204,0.893771,50,0.499525,0.397715
109,0.249802,0.362163,0.882071,0.768855,0.803029,40,0.375127,0.470402
110,0.420276,0.06552,0.752491,0.474434,0.85227,30,0.241228,0.413996
111,0.431315,0.387971,0.863062,0.437081,0.835183,50,0.258179,0.427183
112,0.42942,0.329542,0.867752,0.435759,0.788985,50,0.266073,0.450402
113,0.324551,0.388084,0.792092,0.410864,0.455168,60,0.252342,0.436325
114,0.428461,0.313317,0.849579,0.426462,0.833511,50,0.339205,0.445923
115,0.432773,0.347638,0.725202,0.484525,0.859775,40,0.292432,0.416912
116,0.245532,0.373577,0.672538,0.514704,0.345138,30,0.270252,0.402926
117,0.430199,0.425996,0.722677,0.485079,0.813406,40,0.30371,0.415677
118,0.433165,0.396028,0.725015,0.448942,0.870273,40,0.288421,0.466656
119,0.424621,0.348911,0.722979,0.3857,0.870704,40,0.287519,0.480665
120,0.431481,0.402619,0.687077,0.451588,0.896513,30,0.327209,0.465497
121,0.431658,0.403792,0.684177,0.455339,0.899645,30,0.323932,0.499514
122,0.42845,0.408649,0.641522,0.468068,0.898306,30,0.349028,0.466675
123,0.428928,0.461874,0.693047,0.482522,0.886025,30,0.320295,0.486156
124,0.429434,0.40099,0.674711,0.502532,0.869211,40,0.333019,0.496927
125,0.431984,0.433292,0.585567,0.447066,0.859222,30,0.297155,0.47584
126,0.417004,0.437759,0.592604,0.533599,0.883983,30,0.304213,0.476527
127,0.428083,0.473254,0.692272,0.418864,0.852697,40,0.350283,0.499473
128,0.430841,0.429576,0.613194,0.452184,0.86478,30,0.316632,0.459349
129,0.428156,0.371497,0.726994,0.399033,0.848303,40,0.326146,0.473844
130,0.428765,0.458069,0.63345,0.446569,0.899597,30,0.297271,0.259652
131,0.430683,0.358765,0.750171,0.468628,0.829831,300,0.283651,0.449885
132,0.431097,0.392009,0.651397,0.489412,0.871572,40,0.29564,0.464436
133,0.430683,0.402934,0.685997,0.424981,0.853247,60,0.308463,0.443841
134,0.0,0.371001,0.706286,0.45079,0.101204,40,0.279799,0.492066
135,0.42074,0.336693,0.485639,0.519705,0.888137,50,0.288762,0.45627
136,0.425442,0.414025,0.76133,0.504008,0.809846,30,0.31395,0.435559
137,0.429724,0.446797,0.508357,0.410119,0.834841,60,0.337567,0.484553
138,0.428196,0.317384,0.710701,0.435094,0.793177,260,0.27244,0.421766
139,0.313508,0.718803,0.661085,0.461291,0.866386,50,0.303587,0.47038
140,0.425973,0.355352,0.738888,0.376891,0.7573,30,0.325831,0.454793
141,0.430767,0.328173,0.834312,0.475123,0.823179,40,0.294349,0.439164
142,0.433214,0.380717,0.820512,0.45499,0.844808,50,0.264322,0.428533
143,0.433375,0.379252,0.777784,0.44657,0.854616,50,0.275765,0.428557
144,0.431651,0.389185,0.774834,0.436776,0.850848,40,0.278809,0.420847
145,0.430792,0.383618,0.776384,0.430996,0.845598,40,0.277652,0.408003
146,0.428242,0.421731,0.788269,0.491615,0.856269,60,0.250092,0.42006
147,0.42717,0.348297,0.763337,0.401208,0.809969,50,0.268022,0.399277
148,0.428814,0.381084,0.804032,0.470978,0.879147,40,0.232582,0.373852
149,0.430649,0.366236,0.549481,0.418652,0.842964,50,0.260162,0.430668
150,0.430191,0.397942,0.818167,0.43866,0.778466,60,0.282003,0.411827
151,0.431619,0.407772,0.734838,0.453359,0.869058,30,0.305802,0.443195
152,0.431043,0.432947,0.738616,0.446539,0.870183,40,0.306394,0.445957
153,0.432673,0.414433,0.755879,0.48436,0.857138,30,0.291321,0.426984
154,0.431441,0.383548,0.763477,0.485932,0.82254,40,0.272123,0.429247
155,0.427764,0.342242,0.719835,0.507445,0.852204,130,0.287472,0.417952
156,0.427375,0.415484,0.793361,0.468294,0.802134,50,0.294367,0.388634
157,0.427085,0.306782,0.777746,0.493371,0.836544,30,0.259136,0.425011
158,0.407276,0.367792,0.845197,0.428187,0.60315,30,0.283499,0.403667
159,0.426692,0.433937,0.810601,0.476687,0.88134,40,0.243739,0.434637
160,0.422217,0.391733,0.74541,0.523498,0.857902,50,0.315763,0.451617
161,0.430149,0.413436,0.709079,0.459197,0.872107,30,0.302858,0.440193
162,0.432423,0.36008,0.824675,0.448954,0.838775,30,0.275392,0.443852
163,0.431395,0.352016,0.828904,0.445255,0.838175,40,0.273242,0.416342
164,0.43074,0.371028,0.870125,0.419376,0.816877,40,0.291787,0.459275
165,0.430261,0.331481,0.852749,0.469163,0.84757,30,0.265767,0.425589
166,0.430988,0.387528,0.823197,0.435839,0.797042,50,0.276751,0.449082
167,0.433086,0.35526,0.788832,0.482715,0.826236,30,0.296898,0.478113
168,0.426991,0.284632,0.881988,0.494348,0.831578,30,0.297186,0.477908
169,0.431765,0.355218,0.799494,0.480739,0.883916,30,0.317297,0.465475
170,0.428973,0.319698,0.806456,0.504974,0.814916,50,0.252627,0.467614
171,0.432241,0.343162,0.789193,0.487543,0.879269,30,0.317952,0.486089
172,0.427899,0.349663,0.790179,0.479042,0.865917,30,0.314018,0.478489
173,0.420369,0.302932,0.799397,0.537621,0.886556,40,0.288139,0.457996
174,0.432468,0.334067,0.834653,0.484788,0.83127,30,0.298087,0.438122
175,0.421488,0.360338,0.840577,0.518691,0.827534,30,0.300155,0.487827
176,0.060685,0.342316,0.822787,0.487747,0.188404,290,0.314855,0.436804
177,0.428878,0.327417,0.844491,0.468797,0.881252,30,0.297589,0.463673
178,0.42616,0.371042,0.755495,0.506802,0.787138,40,0.337486,0.47338
179,0.431082,0.352565,0.78511,0.480568,0.863699,30,0.310305,0.329418
180,0.418268,0.308988,0.818173,0.546489,0.812875,40,0.289934,0.453953
181,0.43183,0.336191,0.863722,0.462519,0.838347,40,0.282348,0.445838
182,0.430168,0.373304,0.853801,0.464996,0.834552,30,0.265193,0.430797
183,0.42908,0.33544,0.867135,0.500541,0.85852,40,0.28429,0.446465
184,0.431629,0.360983,0.836391,0.485821,0.838937,50,0.30492,0.438571
185,0.429224,0.320845,0.801852,0.458762,0.802773,30,0.319194,0.457746
186,0.017138,0.381857,0.886786,0.476323,0.142235,40,0.295213,0.469176
187,0.420382,0.288304,0.771773,0.449537,0.650996,30,0.276568,0.431991
188,0.420018,0.355681,0.859193,0.519186,0.88153,60,0.327511,0.483812
189,0.386058,0.33635,0.824823,0.493582,0.538578,50,0.286726,0.442577
190,0.43133,0.388141,0.793641,0.458859,0.854029,30,0.264392,0.041241
191,0.430727,0.33748,0.758402,0.441195,0.843671,40,0.282202,0.449841
192,0.428556,0.352176,0.836901,0.424058,0.824348,140,0.274199,0.412903
193,0.427619,0.366559,0.875005,0.470033,0.861734,40,0.308231,0.426491
194,0.43185,0.32112,0.812449,0.44705,0.877884,50,0.29546,0.441246
195,0.430635,0.269311,0.81217,0.449058,0.875582,50,0.298059,0.460444
196,0.432048,0.317467,0.783396,0.4819,0.898783,50,0.319509,0.435505
197,0.428812,0.296145,0.778033,0.499053,0.897512,60,0.291522,0.435265
198,0.428617,0.313745,0.832242,0.413093,0.864957,50,0.303372,0.421976
199,0.429395,0.321135,0.84915,0.465488,0.827808,50,0.270246,0.410867
