trial,MOTA,box_threshold,text_threshold,track_thresh,match_thresh,track_buffer,lambda_weight,text_sim_weight
81,0.538637,0.496435,0.291301,0.268321,0.837822,90,0.359245,0.020797
82,0.537679,0.503523,0.292364,0.269198,0.836702,90,0.362157,0.021394
83,0.528204,0.516823,0.344735,0.226985,0.835766,110,0.359987,0.027061
84,0.516781,0.528412,0.260702,0.265436,0.772736,60,0.308056,0.041239
85,0.085393,0.608004,0.282164,0.33808,0.321678,80,0.362712,0.018433
86,0.062103,0.505689,0.31376,0.762072,0.842219,110,0.385427,0.044401
87,0.511183,0.413943,0.244964,0.235299,0.75171,100,0.410095,0.093794
88,0.478697,0.577518,0.344169,0.34394,0.809411,50,0.292856,0.018093
89,0.533389,0.477996,0.360984,0.319144,0.779728,70,0.338611,0.066596
90,0.528435,0.458787,0.283377,0.243786,0.83873,50,0.386146,0.020845
91,0.535454,0.490251,0.415398,0.273649,0.816773,90,0.322237,0.083825
92,0.534328,0.505452,0.30127,0.277679,0.801961,100,0.33912,0.040339
93,0.520637,0.528265,0.509621,0.304679,0.849249,80,0.360097,0.064611
94,0.480139,0.506081,0.29551,0.281174,0.583383,50,0.309346,0.077283
95,0.495325,0.565007,0.246383,0.354435,0.88354,80,0.373764,0.036389
96,0.533317,0.47689,0.332893,0.432718,0.829302,60,0.334894,0.064227
97,0.172239,0.5336,0.269228,0.189232,0.393924,120,0.257254,0.10116
98,0.529375,0.454019,0.312565,0.305667,0.855393,90,0.356713,0.048068
99,0.529741,0.514463,0.48317,0.258119,0.886801,70,0.396982,0.013031
100,0.533363,0.399168,0.357421,0.3972,0.785961,100,0.369736,0.025616
101,0.535135,0.493939,0.301878,0.34999,0.809395,80,0.410593,0.053804
102,0.533415,0.477773,0.246554,0.327486,0.8551,50,0.429907,0.086818
103,0.509109,0.415856,0.552105,0.222971,0.831414,70,0.388992,0.03384
104,0.527597,0.454464,0.283816,0.292057,0.887471,60,0.43077,0.047416
105,0.53786,0.49599,0.337626,0.359539,0.858971,90,0.416059,0.069341
106,0.498117,0.563529,0.337192,0.333798,0.84294,90,0.407533,0.069449
107,0.27875,0.504876,0.263638,0.377772,0.461473,100,0.377596,0.081581
108,0.45,0.597417,0.317047,0.315377,0.737344,80,0.005221,0.012675
109,0.5164,0.53131,0.229601,0.406549,0.816321,120,0.416429,0.097952
110,0.02846,0.540735,0.437008,0.364468,0.22951,40,0.039398,0.057799
111,0.537058,0.491219,0.296101,0.349925,0.86474,150,0.396512,0.03153
112,0.533827,0.477841,0.35399,0.387567,0.887353,90,0.442506,0.046615
113,0.528834,0.512667,0.328642,0.428878,0.828459,160,0.352913,0.058486
114,0.524524,0.447548,0.308238,0.291232,0.856585,60,0.383922,0.022861
115,0.535622,0.495397,0.286271,0.269849,0.800692,70,0.369033,0.038742
116,0.530607,0.470761,0.224425,0.365732,0.897169,110,0.428888,0.074717
117,0.0,0.519816,0.266488,0.892756,0.763055,40,0.339619,0.029241
118,0.484802,0.573541,0.243796,0.244971,0.864851,80,0.327068,0.012452
119,0.5156,0.419105,0.340826,0.482835,0.836852,140,0.403258,0.090364
120,0.530797,0.461448,0.36499,0.336708,0.783004,50,0.448713,0.050153
121,0.538639,0.487692,0.290124,0.356744,0.87258,170,0.418217,0.036113
122,0.538451,0.500746,0.290821,0.396957,0.88366,180,0.419774,0.059627
123,0.516047,0.538027,0.29088,0.397044,0.883741,90,0.415825,0.068951
124,0.0,0.504187,0.272522,0.315187,0.84433,180,0.392129,0.463803
125,0.530295,0.474747,0.327237,0.208353,0.820163,60,0.380778,0.011577
126,0.50691,0.552521,0.59986,0.29792,0.899901,100,0.364942,0.040394
127,0.524256,0.517875,0.317246,0.441756,0.861489,170,0.344217,0.057971
128,0.532664,0.445998,0.255885,0.375918,0.877234,150,0.31355,0.022013
129,0.536346,0.485709,0.277163,0.344518,0.803157,180,0.421545,0.001465
130,0.515814,0.462369,0.391849,0.461372,0.824155,80,0.301203,0.035031
131,0.539247,0.499329,0.305998,0.356912,0.847764,170,0.436238,0.066833
132,0.538329,0.501134,0.299749,0.326969,0.84314,160,0.402504,0.063914
133,0.517811,0.530592,0.339349,0.405197,0.849402,160,0.403996,0.063507
134,0.257984,0.100904,0.304015,0.325731,0.841732,180,0.438782,0.043191
135,0.529317,0.515046,0.355083,0.385248,0.876868,170,0.416059,0.027696
136,0.538331,0.495383,0.319802,0.362415,0.86111,190,0.395334,0.084054
137,0.532023,0.474435,0.313123,0.361583,0.825364,200,0.398904,0.111902
138,0.513202,0.541873,0.259111,0.333654,0.856684,190,0.392189,0.085637
139,0.535826,0.501251,0.372752,0.414171,0.838808,160,0.422999,0.062344
140,0.362749,0.436409,0.2868,0.37599,0.52349,190,0.450045,0.104023
141,0.537023,0.486409,0.322398,0.363006,0.869607,180,0.410144,0.073908
142,0.537835,0.499319,0.338648,0.348996,0.89975,190,0.372939,0.055094
143,0.526537,0.520642,0.347713,0.309468,0.88803,170,0.369597,0.057708
144,0.53661,0.456865,0.30305,0.39355,0.861091,190,0.355972,0.081271
145,0.534875,0.50581,0.27617,0.343931,0.883574,140,0.385244,0.052195
146,0.000513,0.532892,0.245997,0.855237,0.85145,200,0.434896,0.092065
147,0.535613,0.483036,0.328066,0.425092,0.83406,180,0.4084,0.066198
148,0.502593,0.559893,0.297534,0.329861,0.897483,190,0.397106,0.125129
149,0.53283,0.466522,0.340896,0.286164,0.808006,160,0.425366,0.041028
150,0.537485,0.498261,0.412727,0.391226,0.872653,70,0.37538,0.032913
151,0.53659,0.499635,0.403159,0.389037,0.866924,70,0.375702,0.032421
