,num_frames,mota,motp,idf1,idp,idr,precision,recall,num_switches,mostly_tracked,mostly_lost,num_fragmentations,num_false_positives,num_misses,num_objects
0015,376.0,0.5190793458509995,0.2391012637571287,0.709044908285895,0.7418927862342819,0.6789824348879467,0.786234281932495,0.7195639006662629,8.0,7.0,5.0,34.0,323.0,463.0,1651.0
0016,209.0,0.5459308417743626,0.28866817592137634,0.6881634288003204,0.8065727699530516,0.6000698567935732,0.8723004694835681,0.6489696122947957,23.0,6.0,2.0,95.0,272.0,1005.0,2863.0
0018,324.0,0.775480059084195,0.15317226025437933,0.8594734890619207,0.8629932985852569,0.8559822747415067,0.8942665673864483,0.8870014771048744,9.0,6.0,0.0,10.0,142.0,153.0,1354.0
0019,1059.0,0.42879543834640055,0.2862164170399679,0.601294546536716,0.6288515406162465,0.5760513186029936,0.7379396202925614,0.6759800427655025,50.0,18.0,4.0,220.0,1684.0,2273.0,7015.0
0020,837.0,0.45461160633072584,0.18501300120801656,0.6093072324463721,0.8566249176005274,0.47280334728033474,0.9133157547791694,0.504093141713662,9.0,8.0,37.0,30.0,263.0,2726.0,5497.0
AVG,561.0,0.5447794582773368,0.23043422363617377,0.6934567210262449,0.7793870625978728,0.636777846461271,0.8408113387748484,0.6871216349090196,19.8,9.0,9.6,77.8,536.8,1324.0,3676.0
