,num_frames,num_frames,num_frames,mota,mota,mota,motp,motp,motp,idf1,idf1,idf1,idp,idp,idp,idr,idr,idr,precision,precision,precision,recall,recall,recall,num_switches,num_switches,num_switches,mostly_tracked,mostly_tracked,mostly_tracked,mostly_lost,mostly_lost,mostly_lost,num_fragmentations,num_fragmentations,num_fragmentations,num_false_positives,num_false_positives,num_false_positives,num_misses,num_misses,num_misses,num_objects,num_objects,num_objects
,Baseline,CLIP-Fused,Δ,Baseline,CLIP-Fused,Δ,Baseline,CLIP-Fused,Δ,Baseline,CLIP-Fused,Δ,Baseline,CLIP-Fused,Δ,Baseline,CLIP-Fused,Δ,Baseline,CLIP-Fused,Δ,Baseline,CLIP-Fused,Δ,Baseline,CLIP-Fused,Δ,Baseline,CLIP-Fused,Δ,Baseline,CLIP-Fused,Δ,Baseline,CLIP-Fused,Δ,Baseline,CLIP-Fused,Δ,Baseline,CLIP-Fused,Δ,Baseline,CLIP-Fused,Δ
0015,376.0,376.0,0.0,0.5190793458509995,0.41308298001211385,-0.10599636583888561,0.2391012637571287,0.24268742774211088,0.0035861639849821825,0.709044908285895,0.6628242074927954,-0.04622070079309959,0.7418927862342819,0.6322155030236394,-0.10967728321064252,0.6789824348879467,0.6965475469412478,0.017565112053301024,0.786234281932495,0.6959868059373282,-0.0902474759951668,0.7195639006662629,0.7668079951544519,0.047244094488189003,8.0,31.0,23.0,7.0,7.0,0.0,5.0,2.0,-3.0,34.0,60.0,26.0,323.0,553.0,230.0,463.0,385.0,-78.0,1651.0,1651.0,0.0
0016,209.0,209.0,0.0,0.5459308417743626,0.5148445686342997,-0.031086273140062848,0.28866817592137634,0.286346570533889,-0.0023216053874873244,0.6881634288003204,0.7071802543006731,0.019016825500352663,0.8065727699530516,0.7609657947686117,-0.0456069751844399,0.6000698567935732,0.6604959832343695,0.06042612644079637,0.8723004694835681,0.8004024144869215,-0.07189805499664659,0.6489696122947957,0.6947258120852253,0.045756199790429664,23.0,19.0,-4.0,6.0,6.0,0.0,2.0,0.0,-2.0,95.0,116.0,21.0,272.0,496.0,224.0,1005.0,874.0,-131.0,2863.0,2863.0,0.0
0018,324.0,332.0,8.0,0.775480059084195,0.7274741506646971,-0.04800590841949792,0.15317226025437933,0.16395326542716945,0.010781005172790126,0.8594734890619207,0.8370786516853933,-0.022394837376527366,0.8629932985852569,0.7978580990629184,-0.06513519952233848,0.8559822747415067,0.880354505169867,0.024372230428360342,0.8942665673864483,0.8326639892904953,-0.06160257809595293,0.8870014771048744,0.9187592319054653,0.03175775480059084,9.0,9.0,0.0,6.0,11.0,5.0,0.0,0.0,0.0,10.0,12.0,2.0,142.0,250.0,108.0,153.0,110.0,-43.0,1354.0,1354.0,0.0
0019,1059.0,1059.0,0.0,0.42879543834640055,0.32002851033499646,-0.10876692801140408,0.2862164170399679,0.2862915277109591,7.51106709911964e-05,0.601294546536716,0.5449945295404814,-0.05630001699623455,0.6288515406162465,0.5237219082665265,-0.10512963234971995,0.5760513186029936,0.5680684248039914,-0.007982893799002189,0.7379396202925614,0.6523853331581022,-0.08555428713445923,0.6759800427655025,0.7076265146115467,0.03164647184604419,50.0,74.0,24.0,18.0,24.0,6.0,4.0,1.0,-3.0,220.0,264.0,44.0,1684.0,2645.0,961.0,2273.0,2051.0,-222.0,7015.0,7015.0,0.0
0020,837.0,837.0,0.0,0.45461160633072584,0.5140985992359468,0.05948699290522097,0.18501300120801656,0.21444809934963502,0.02943509814161846,0.6093072324463721,0.6773355502442066,0.06802831779783447,0.8566249176005274,0.7898691226369365,-0.06675579496359085,0.47280334728033474,0.5928688375477533,0.12006549026741858,0.9133157547791694,0.8456131846825012,-0.06770257009666814,0.504093141713662,0.6347098417318537,0.1306167000181917,9.0,26.0,17.0,8.0,24.0,16.0,37.0,16.0,-21.0,30.0,119.0,89.0,263.0,637.0,374.0,2726.0,2008.0,-718.0,5497.0,5497.0,0.0
AVG,561.0,562.6,1.6000000000000227,0.5447794582773368,0.49790576177641077,-0.04687369650092599,0.23043422363617377,0.2387453781527527,0.008311154516578934,0.6934567210262449,0.6858826386527099,-0.007574082373534963,0.7793870625978728,0.7009260855517265,-0.0784609770461463,0.636777846461271,0.6796670595394458,0.04288921307817484,0.8408113387748484,0.7654103455110697,-0.07540099326377869,0.6871216349090196,0.7445258790977085,0.057404244188688947,19.8,31.8,12.0,9.0,14.4,5.4,9.6,3.8,-5.8,77.8,114.2,36.400000000000006,536.8,916.2,379.4000000000001,1324.0,1085.6,-238.4000000000001,3676.0,3676.0,0.0
