,num_frames,mota,motp,idf1,idp,idr,precision,recall,num_switches,mostly_tracked,mostly_lost,num_fragmentations,num_false_positives,num_misses,num_objects
0015,376.0,0.41308298001211385,0.24268742774211088,0.6628242074927954,0.6322155030236394,0.6965475469412478,0.6959868059373282,0.7668079951544519,31.0,7.0,2.0,60.0,553.0,385.0,1651.0
0016,209.0,0.5148445686342997,0.286346570533889,0.7071802543006731,0.7609657947686117,0.6604959832343695,0.8004024144869215,0.6947258120852253,19.0,6.0,0.0,116.0,496.0,874.0,2863.0
0018,332.0,0.7274741506646971,0.16395326542716945,0.8370786516853933,0.7978580990629184,0.880354505169867,0.8326639892904953,0.9187592319054653,9.0,11.0,0.0,12.0,250.0,110.0,1354.0
0019,1059.0,0.32002851033499646,0.2862915277109591,0.5449945295404814,0.5237219082665265,0.5680684248039914,0.6523853331581022,0.7076265146115467,74.0,24.0,1.0,264.0,2645.0,2051.0,7015.0
0020,837.0,0.5140985992359468,0.21444809934963502,0.6773355502442066,0.7898691226369365,0.5928688375477533,0.8456131846825012,0.6347098417318537,26.0,24.0,16.0,119.0,637.0,2008.0,5497.0
AVG,562.6,0.49790576177641077,0.2387453781527527,0.6858826386527099,0.7009260855517265,0.6796670595394458,0.7654103455110697,0.7445258790977085,31.8,14.4,3.8,114.2,916.2,1085.6,3676.0
